POLICY_ID,AGE,SEX,SUM_ASSURED,PREMIUM
1,32,MALE,100000,140
2,54,FEMALE,120000,180
3,23,MALE,80000,100
4,38,MALE,80000,100
5,20,MALE,80000,100
6,95,MALE,80000,100
7,67,MALE,80000,100
8,81,MALE,80000,100
9,80,MALE,80000,100
10,75,MALE,80000,100
11,88,MALE,80000,100
12,65,MALE,80000,100
13,64,MALE,80000,100
14,94,MALE,80000,100
15,24,MALE,80000,100
16,22,MALE,80000,100
17,86,MALE,80000,100
18,64,MALE,80000,100
19,68,MALE,80000,100
20,36,MALE,80000,100
21,68,MALE,80000,100
22,48,MALE,80000,100
23,73,MALE,80000,100
24,34,MALE,80000,100
25,95,MALE,80000,100
26,70,MALE,80000,100
27,63,MALE,80000,100
28,82,MALE,80000,100
29,30,MALE,80000,100
30,95,MALE,80000,100
31,43,MALE,80000,100
32,90,MALE,80000,100
33,30,MALE,80000,100
34,69,MALE,80000,100
35,80,MALE,80000,100
36,65,MALE,80000,100
37,66,MALE,80000,100
38,57,MALE,80000,100
39,55,MALE,80000,100
40,34,MALE,80000,100
41,72,MALE,80000,100
42,69,MALE,80000,100
43,87,MALE,80000,100
44,28,MALE,80000,100
45,85,MALE,80000,100
46,55,MALE,80000,100
47,25,MALE,80000,100
48,22,MALE,80000,100
49,23,MALE,80000,100
50,70,MALE,80000,100
51,68,MALE,80000,100
52,77,MALE,80000,100
53,60,MALE,80000,100
54,22,MALE,80000,100
55,62,MALE,80000,100
56,49,MALE,80000,100
57,46,MALE,80000,100
58,33,MALE,80000,100
59,67,MALE,80000,100
60,18,MALE,80000,100
61,49,MALE,80000,100
62,81,MALE,80000,100
63,22,MALE,80000,100
64,38,MALE,80000,100
65,50,MALE,80000,100
66,50,MALE,80000,100
67,42,MALE,80000,100
68,36,MALE,80000,100
69,69,MALE,80000,100
70,22,MALE,80000,100
71,32,MALE,80000,100
72,59,MALE,80000,100
73,81,MALE,80000,100
74,20,MALE,80000,100
75,54,MALE,80000,100
76,78,MALE,80000,100
77,45,MALE,80000,100
78,33,MALE,80000,100
79,80,MALE,80000,100
80,50,MALE,80000,100
81,68,MALE,80000,100
82,87,MALE,80000,100
83,82,MALE,80000,100
84,67,MALE,80000,100
85,28,MALE,80000,100
86,49,MALE,80000,100
87,81,MALE,80000,100
88,43,MALE,80000,100
89,78,MALE,80000,100
90,85,MALE,80000,100
91,55,MALE,80000,100
92,73,MALE,80000,100
93,24,MALE,80000,100
94,86,MALE,80000,100
95,31,MALE,80000,100
96,23,MALE,80000,100
97,71,MALE,80000,100
98,86,MALE,80000,100
99,37,MALE,80000,100
100,63,MALE,80000,100
